,name,date,session,time,sampling,rt,cue,presented,response,retrieval,error,iti
0,demo_rat,2026-07-20,demo,24.91,0.370000000000001,0.4740000000000000,16.0,1.0,0.0,1.3100000000000000,1.0,
1,demo_rat,2026-07-20,demo,44.374,0.0379999999999967,0.7959999999999990,4.0,0.0,0.0,1.6000000000000000,0.0,19.464
2,demo_rat,2026-07-20,demo,50.416,0.2640000000000030,0.3100000000000020,4.0,1.0,1.0,1.4040000000000000,0.0,6.0419999999999900
3,demo_rat,2026-07-20,demo,60.014,0.1459999999999940,0.2560000000000000,1.0,0.0,0.0,1.3740000000000000,0.0,9.598000000000010
4,demo_rat,2026-07-20,demo,66.122,0.1160000000000000,0.2800000000000010,16.0,1.0,1.0,1.2800000000000000,0.0,6.108000000000000
5,demo_rat,2026-07-20,demo,73.422,0.1640000000000010,1.2220000000000100,4.0,1.0,0.0,0.8939999999999910,1.0,7.300000000000000
6,demo_rat,2026-07-20,demo,89.588,0.1440000000000050,0.2139999999999990,1.0,0.0,0.0,1.1980000000000100,0.0,16.166000000000000
7,demo_rat,2026-07-20,demo,97.822,0.0660000000000025,0.2800000000000010,16.0,1.0,1.0,1.5500000000000000,0.0,8.234000000000010
8,demo_rat,2026-07-20,demo,107.728,0.0720000000000027,0.3160000000000030,1.0,0.0,0.0,1.4580000000000000,0.0,9.905999999999990
9,demo_rat,2026-07-20,demo,115.964,0.2079999999999980,0.2139999999999990,1.0,1.0,1.0,0.9840000000000090,0.0,8.236000000000000
10,demo_rat,2026-07-20,demo,125.122,0.0720000000000027,0.2779999999999920,4.0,0.0,0.0,1.768000000000000,0.0,9.158
11,demo_rat,2026-07-20,demo,131.292,0.1059999999999950,0.2760000000000100,4.0,1.0,1.0,1.0600000000000000,0.0,6.170000000000000
12,demo_rat,2026-07-20,demo,141.18,0.0720000000000027,0.2539999999999910,4.0,0.0,0.0,1.087999999999990,0.0,9.888000000000000
13,demo_rat,2026-07-20,demo,154.834,0.1800000000000070,0.4019999999999870,16.0,0.0,0.0,1.038000000000010,0.0,13.654000000000000
14,demo_rat,2026-07-20,demo,160.494,0.0960000000000036,0.3700000000000050,4.0,1.0,1.0,1.2140000000000000,0.0,5.660000000000000
15,demo_rat,2026-07-20,demo,167.534,0.0380000000000109,0.4199999999999880,16.0,0.0,0.0,1.2300000000000200,0.0,7.039999999999990
16,demo_rat,2026-07-20,demo,179.472,0.0439999999999827,0.2620000000000000,16.0,1.0,1.0,1.4380000000000200,0.0,11.938000000000000
17,demo_rat,2026-07-20,demo,187.682,0.0220000000000197,0.3100000000000020,16.0,0.0,0.0,1.5339999999999900,0.0,8.20999999999998
18,demo_rat,2026-07-20,demo,193.128,0.0840000000000031,0.5600000000000020,1.0,1.0,1.0,1.1360000000000000,0.0,5.446000000000000
19,demo_rat,2026-07-20,demo,198.632,0.1159999999999850,0.7980000000000020,4.0,1.0,1.0,1.5440000000000100,0.0,5.504000000000020
20,demo_rat,2026-07-20,demo,210.416,0.1820000000000160,0.5939999999999940,4.0,0.0,1.0,1.5459999999999900,1.0,11.784000000000000
21,demo_rat,2026-07-20,demo,237.38,0.093999999999994,0.6300000000000240,4.0,1.0,0.0,1.417999999999980,1.0,26.964
22,demo_rat,2026-07-20,demo,242.958,0.0279999999999915,1.148000000000000,4.0,1.0,1.0,1.77800000000002,0.0,5.578000000000000
23,demo_rat,2026-07-20,demo,250.984,0.0919999999999845,0.3340000000000030,16.0,0.0,0.0,2.1200000000000000,0.0,8.02600000000001
24,demo_rat,2026-07-20,demo,257.226,0.1000000000000230,0.311999999999955,1.0,1.0,1.0,1.6400000000000400,0.0,6.24199999999999
25,demo_rat,2026-07-20,demo,265.146,0.1819999999999600,0.2600000000000480,16.0,0.0,0.0,1.919999999999960,0.0,7.920000000000020
26,demo_rat,2026-07-20,demo,271.458,0.1439999999999490,4.03000000000003,4.0,0.0,1.0,2.2679999999999700,1.0,6.312000000000010
27,demo_rat,2026-07-20,demo,282.114,0.0800000000000409,0.4839999999999800,16.0,1.0,1.0,1.3480000000000100,0.0,10.655999999999900
28,demo_rat,2026-07-20,demo,291.79,0.1139999999999760,0.2339999999999800,16.0,0.0,0.0,1.5860000000000100,0.0,9.676000000000050
29,demo_rat,2026-07-20,demo,311.098,0.0759999999999649,0.2560000000000290,1.0,1.0,0.0,0.9920000000000190,1.0,19.308000000000000
30,demo_rat,2026-07-20,demo,316.064,0.1519999999999870,0.2319999999999710,4.0,0.0,1.0,1.1480000000000200,1.0,4.966000000000010
31,demo_rat,2026-07-20,demo,379.198,0.108000000000004,0.2660000000000200,16.0,0.0,0.0,1.3460000000000000,0.0,63.13400000000000
32,demo_rat,2026-07-20,demo,385.41,0.0979999999999563,0.3400000000000320,4.0,1.0,1.0,1.5840000000000000,0.0,6.212000000000050
33,demo_rat,2026-07-20,demo,392.17,0.079999999999984,0.9239999999999780,4.0,1.0,0.0,1.994000000000030,1.0,6.759999999999990
34,demo_rat,2026-07-20,demo,404.69,0.1560000000000060,0.2400000000000090,1.0,1.0,1.0,1.0980000000000100,0.0,12.520000000000000
35,demo_rat,2026-07-20,demo,411.436,0.02800000000002,0.4359999999999790,16.0,1.0,1.0,1.490000000000010,0.0,6.745999999999980
36,demo_rat,2026-07-20,demo,469.27,0.1020000000000320,0.25,16.0,0.0,0.0,1.2059999999999600,0.0,57.834
37,demo_rat,2026-07-20,demo,490.4,0.004000000000019,0.4680000000000180,1.0,0.0,0.0,4.25,0.0,21.130000000000000
38,demo_rat,2026-07-20,demo,500.744,0.0539999999999736,0.6800000000000070,4.0,1.0,1.0,1.20799999999997,0.0,10.344000000000100
39,demo_rat,2026-07-20,demo,519.122,0.0540000000000873,0.4420000000000070,4.0,1.0,1.0,1.2939999999999800,0.0,18.37799999999990
40,demo_rat,2026-07-20,demo,526.156,0.0620000000000118,0.5720000000000030,4.0,1.0,1.0,1.51400000000001,0.0,7.033999999999990
41,demo_rat,2026-07-20,demo,535.288,0.0720000000000027,0.4120000000000350,4.0,0.0,0.0,1.0359999999999400,0.0,9.132000000000060
42,demo_rat,2026-07-20,demo,541.624,0.1019999999999750,0.2880000000000110,4.0,1.0,1.0,1.816000000000030,0.0,6.336000000000010
43,demo_rat,2026-07-20,demo,548.87,0.0499999999999545,0.5339999999999920,1.0,1.0,1.0,1.358000000000060,0.0,7.245999999999980
44,demo_rat,2026-07-20,demo,555.418,0.0299999999999727,0.4360000000000350,1.0,1.0,1.0,2.5720000000000000,0.0,6.548000000000000
45,demo_rat,2026-07-20,demo,636.966,0.1280000000000430,0.2179999999999610,1.0,0.0,0.0,1.2759999999999500,0.0,81.548
46,demo_rat,2026-07-20,demo,645.932,0.0879999999999654,1.0620000000000100,4.0,0.0,0.0,1.5720000000000000,0.0,8.966000000000010
47,demo_rat,2026-07-20,demo,653.61,0.1040000000000420,0.5059999999999720,4.0,1.0,1.0,2.495999999999980,0.0,7.678000000000000
48,demo_rat,2026-07-20,demo,669.246,0.0679999999999836,1.5439999999999800,1.0,1.0,0.0,1.5460000000000500,1.0,15.636000000000000
49,demo_rat,2026-07-20,demo,678.052,0.0819999999999936,0.2459999999999810,4.0,1.0,1.0,1.7620000000000600,0.0,8.80600000000004
50,demo_rat,2026-07-20,demo,685.618,0.0939999999999372,0.4260000000000450,4.0,0.0,0.0,1.4939999999999100,0.0,7.566000000000030
51,demo_rat,2026-07-20,demo,692.332,0.0620000000000118,0.3799999999999950,1.0,1.0,1.0,1.5119999999999400,0.0,6.713999999999940
52,demo_rat,2026-07-20,demo,698.252,0.0780000000000882,0.3379999999999650,1.0,0.0,0.0,1.2799999999999700,0.0,5.919999999999960
53,demo_rat,2026-07-20,demo,705.604,0.1299999999999950,0.3840000000000150,4.0,0.0,0.0,1.3619999999999700,0.0,7.352000000000090
54,demo_rat,2026-07-20,demo,711.496,0.0879999999999654,0.6520000000000440,16.0,1.0,1.0,0.9180000000000060,0.0,5.891999999999940
55,demo_rat,2026-07-20,demo,719.078,0.0900000000000318,0.5040000000000190,16.0,0.0,0.0,0.9900000000000090,0.0,7.581999999999990
56,demo_rat,2026-07-20,demo,724.85,0.1240000000000240,0.65199999999993,16.0,1.0,1.0,1.2480000000000500,0.0,5.772000000000050
57,demo_rat,2026-07-20,demo,731.566,0.0679999999999836,1.19399999999996,4.0,1.0,0.0,1.6920000000000100,1.0,6.716000000000010
58,demo_rat,2026-07-20,demo,740.976,0.0599999999999454,0.7360000000001040,1.0,1.0,1.0,1.0119999999999400,0.0,9.409999999999970
59,demo_rat,2026-07-20,demo,746.924,0.1140000000000330,0.2559999999999720,16.0,0.0,0.0,1.4260000000000400,0.0,5.947999999999980
60,demo_rat,2026-07-20,demo,753.218,0.0800000000000409,0.4360000000000350,1.0,1.0,1.0,1.259999999999990,0.0,6.293999999999980
61,demo_rat,2026-07-20,demo,760.554,0.0460000000000491,0.70799999999997,1.0,1.0,0.0,1.490000000000010,1.0,7.336000000000010
